,layerSize,layerNum,dropout,optimizer,accuracy,executionTime
0,128,5,0.2,adam,0.1,0.0
1,128,5,0.2,SDG,0.1,0.0
2,128,5,0.4,adam,0.1,0.0
3,128,5,0.4,SDG,0.1,0.0
4,128,5,0.6,adam,0.1,0.0
5,128,5,0.6,SDG,0.1,0.0
6,128,10,0.2,adam,0.1,0.0
7,128,10,0.2,SDG,0.1,0.0
8,128,10,0.4,adam,0.1,0.0
9,128,10,0.4,SDG,0.1,0.0
10,128,10,0.6,adam,0.1,0.0
11,128,10,0.6,SDG,0.1,0.0
12,128,20,0.2,adam,0.1,0.0
13,128,20,0.2,SDG,0.1,0.0
14,128,20,0.4,adam,0.1,0.0
15,128,20,0.4,SDG,0.1,0.0
16,128,20,0.6,adam,0.1,0.0
17,128,20,0.6,SDG,0.1,0.0
18,256,5,0.2,adam,0.1,0.0
19,256,5,0.2,SDG,0.1,0.0
20,256,5,0.4,adam,0.1,0.0
21,256,5,0.4,SDG,0.1,0.0
22,256,5,0.6,adam,0.1,0.0
23,256,5,0.6,SDG,0.1,0.0
24,256,10,0.2,adam,0.1,0.0
25,256,10,0.2,SDG,0.1,0.0
26,256,10,0.4,adam,0.1,0.0
27,256,10,0.4,SDG,0.1,0.0
28,256,10,0.6,adam,0.1,0.0
29,256,10,0.6,SDG,0.1,0.0
30,256,20,0.2,adam,0.1,0.0
31,256,20,0.2,SDG,0.1,0.0
32,256,20,0.4,adam,0.1,0.0
33,256,20,0.4,SDG,0.1,0.0
34,256,20,0.6,adam,0.1,0.0
35,256,20,0.6,SDG,0.1,0.0
36,512,5,0.2,adam,0.1,0.0
37,512,5,0.2,SDG,0.1,0.0
38,512,5,0.4,adam,0.1,0.0
39,512,5,0.4,SDG,0.1,0.0
40,512,5,0.6,adam,0.1,0.0
41,512,5,0.6,SDG,0.1,0.0
42,512,10,0.2,adam,0.1,0.0
43,512,10,0.2,SDG,0.1,0.0
44,512,10,0.4,adam,0.1,0.0
45,512,10,0.4,SDG,0.1,0.0
46,512,10,0.6,adam,0.1,0.0
47,512,10,0.6,SDG,0.1,0.0
48,512,20,0.2,adam,0.1,0.0
49,512,20,0.2,SDG,0.1,0.0
50,512,20,0.4,adam,0.1,0.0
51,512,20,0.4,SDG,0.1,0.0
52,512,20,0.6,adam,0.1,0.0
53,512,20,0.6,SDG,0.1,-0.0009701251983642578
